,Time,Sim1,Sim2,Sim3
416,2001 – present (21 years),Nação Zumbi,Cordel do Fogo Encantado,Apanhador Só
417,25 October 1979 (age 43),Austra,Anna Calvi,Cat Power
418,1998 – present (24 years),Julian Casablancas,"Albert Hammond, Jr.",Arctic Monkeys
419,2000 – present (22 years),Metric,The Kills,Santigold
420,1998 – 2011 (13 years),Jenny Lewis,Jenny Lewis with The Watson Twins,Jenny and Johnny
421,2001 – present (21 years),The Pigeon Detectives,The Futureheads,Maxïmo Park
422,1997 – present (25 years),Babyshambles,Dirty Pretty Things,Peter Doherty
423,1982 – 1987 (5 years),Morrissey,Joy Division,The Cure
424,6 July 1987 (age 35),Ingrid Michaelson,Lily Allen,Regina Spektor
425,2003 – present (19 years),Sunset Rubdown,Handsome Furs,Moonface
426,2005 – 2015 (9 years),Late of the Pier,"Does It Offend You, Yeah?",Kasabian
427,1999 – present (23 years),Kevin Drew,Stars,Destroyer
428,,Divine Fits,Wilco,TV on the Radio
429,1999 – present (23 years),The King Khan & BBQ Show,King Tuff,Ty Segall
430,1988 – present (34 years),Zwan,Billy Corgan,Stone Temple Pilots
431,2006 – present (16 years),Jenny Lewis,M. Ward,Camera Obscura
432,2003 – present (19 years),5 A Seco,Marcelo Jeneci,Nando Reis
433,,Marcelo Camelo,Banda do Mar,Cícero
434,2000 – present (22 years),Panda Bear,Avey Tare,Avey Tare's Slasher Flicks
435,1978 – 1980 (2 years),New Order,The Smiths,Bauhaus
436,30 April 1983 (age 39),Iron & Wine,Phosphorescent,Horse Feathers
437,2002 – 2009 (7 years),The Futureheads,Young Knives,Maxïmo Park
438,1997 – present (25 years),Amiina,Sigur Rós,The Album Leaf
439,2006 – present (16 years),Volcano Choir,Fleet Foxes,Sufjan Stevens
440,2006 – present (16 years),Jr Jr,Tokyo Police Club,Generationals
441,21 June 1961 (age 61),Mano Negra,Sergent Garcia,Tryo
442,2003 – present (19 years),The Futureheads,The Rakes,Young Knives
443,,Felipecha,Babet,Joseph D'Anvers
444,2005 – 2020 (15 years),London After Midnight,Lebanon Hanover,She Past Away
445,2005 – present (17 years),Bombay Bicycle Club,sjowgren,Ra Ra Riot
446,1984 – present (38 years),Nação Zumbi,Chico Science & Nação Zumbi,Los Sebosos Postizos
447,1992 – 2011 (19 years),Daniel Johns,The Dissociatives,Bush
448,,Sigur Rós,Jónsi & Alex,Ólafur Arnalds
449,1993 – present (29 years),*NSYNC,Nick Carter,Westlife
450,9 April 1987 (age 35),David Archuleta,Joe Jonas,Vanessa Hudgens
451,,Backstreet Boys,Nick Carter,Jesse McCartney
452,1 March 1994 (age 28),Zayn,Shawn Mendes,Austin Mahone
453,1995 – 2003 (8 years),Backstreet Boys,JC Chasez,O-Town
454,9 March 1985 (age 37),Anacondaz,Maestro A-Sid,Oxxxymiron
455,23 November 1992 (age 30),Hannah Montana,Demi Lovato,Ashley Tisdale
456,,A1,Westlife,Boyzone
457,1994 – 2001 (7 years),Darren Hayes,Boyzone,Backstreet Boys
458,2004 – present (18 years),Breathe Carolina,Metro Station,The Ready Set
459,10 July 1980 (age 42),Ashlee Simpson,Willa Ford,Lindsay Lohan
460,,Britney Spears,Fergie,Lady Gaga
461,8 May 1972 (age 50),Savage Garden,Will Young,Blue
462,14 October 1978 (age 44),Mario,Ne-Yo,Trey Songz
463,28 January 1980 (age 42),Backstreet Boys,Aaron Carter,Nick Lachey
464,2007 – present (15 years),The Ready Set,A Rocket to the Moon,The Maine
465,2006 – present (16 years),Forever the Sickest Kids,The Ready Set,Cobra Starship
466,1996 – present (26 years),Hinder,Nickelback,Daughtry
467,2000 – 2002 (2 years),Stevie Brock,Youngstown,Chris Trousdale
468,5 May 1981 (age 41),Jay Sean,Usher,Joe
469,17 October 1972 (age 50),Stat Quo,Bad Meets Evil,D12
470,26 September 1985 (age 37),Kendji Girac,Keen'V,Vitaa
471,17 February 1982 (age 40),Adele,James Morrison,Robin Thicke
472,2013 – 2015 (1 year),Винтаж,SEREBRO,Вера Брежнева
473,1998 – present (24 years),Boyzone,A1,Shane Filan
474,23 September 1979 (age 43),Centr,Slim,Смоки Мо
475,1999 – present (23 years),Good Charlotte,Mest,Yellowcard
476,17 July 1987 (age 35),Trey Songz,August Alsina,Eric Bellinger
477,2003 – present (19 years),Guf,Slim,Зануда
478,18 October 1979 (age 43),Mario,Usher,Trey Songz
479,21 August 1979 (age 43),Amerie,Janet Jackson,Brandy
480,1998 – present (24 years),The Rasmus,Dead by Sunrise,Placebo
481,1999 – present (23 years),Helalyn Flowers,I:Scintilla,Collide
482,1997 – present (25 years),Breaking Benjamin,Saint Asonia,Thousand Foot Krutch
483,1994 – present (28 years),Korn,Crazy Town,P.O.D.
484,1999 – present (23 years),Staind,Three Days Grace,Theory of a Deadman
485,2005 – present (17 years),Mike Shinoda,Styles of Beyond,Jay-Z and Linkin Park
486,2002 – 2016 (14 years),Fightstar,From Autumn to Ashes,Saosin
487,1997 – 2013 (16 years),Madina Lake,Trapt,TRUSTcompany
488,13 April 1990 (age 32),Funeral for a Friend,Senses Fail,Saosin
489,,Dizmas,Mainstay,Everyday Sunday
490,1996 – present (26 years),Staind,Evans Blue,10 Years
491,1993 – present (29 years),Three Days Grace,P.O.D.,Thousand Foot Krutch
492,2002 – present (20 years),Hayley Williams,Avril Lavigne,Tonight Alive
493,2002 – present (20 years),Fireflight,The Letter Black,Icon for Hire
494,2003 – present (19 years),Trivium,Killswitch Engage,As I Lay Dying
495,2005 – present (17 years),Box Car Racer,blink-182,Tom DeLonge
496,,Vanilla Ninja,Luxuslärm,Indica
497,1990 – present (32 years),Dark Tranquillity,Soilwork,Arch Enemy
498,,The 69 Eyes,Ville Valo,Negative
499,,Hedged,Evans Blue,Our Waking Hour
500,1990 – present (32 years),Antimatter,Blackfield,Katatonia
501,2003 – present (19 years),Circa Survive,Chiodos,Silverstein
502,1996 – present (26 years),Louna,Слот,LaScala
503,1989 – present (33 years),Gravity Kills,Godflesh,Sister Machine Gun
504,1992 – present (30 years),Ill Niño,Papa Roach,Limp Bizkit
505,1976 – present (46 years),Passengers,R.E.M.,Bono
506,1988 – present (34 years),Team Sleep,Korn,†††
507,2005 – present (17 years),Black Jackets,Atakama,Крапива
508,1999 – present (23 years),Spineshank,Adema,Flaw
509,1984 – present (38 years),Xymox,The Frozen Autumn,Rosetta Stone
510,17 June 1969 (age 53),Blue Stahli,Circle of Dust,Voicians
511,1993 – present (29 years),Slipknot,Limp Bizkit,Coal Chamber
512,1995 – present (27 years),Delain,Epica,Nightwish
513,1994 – present (28 years),Wayne Static,Powerman 5000,Dope
514,,Overseer,The Crystal Method,Orbital
515,2001 – present (21 years),Strachy Na Lachy,Myslovitz,Pidżama Porno
516,1990 – present (32 years),Snakeskin,Sopor Aeternus & The Ensemble of Shadows,Theatre of Tragedy
517,2 July 1986 (age 36),Hilary Duff,Ashlee Simpson,Ashley Tisdale
518,15 November 1986 (age 36),Blood on the Dance Floor,Millionaires,Alaska Thunderfuck
519,3 October 1969 (age 53),No Doubt,Fergie,Nelly Furtado
520,2006 – present (16 years),Little Boots,The Ting Tings,Ladyhawke
521,,Birdman,Birdman & Lil' Wayne,Young Jeezy
522,12 January 1991 (age 31),The Saturdays,Cheryl,Alexandra Burke
523,16 December 1971 (age 50),ATB,Ferry Corsten,Dash Berlin
524,,Steps,Alexandra Burke,The Saturdays
525,23 April 1980 (age 42),Flo Rida,Jason Derülo,Pitbull
526,4 May 1984 (age 38),Florrie,Annie,Sophie Ellis-Bextor
527,,Noel Gallagher's High Flying Birds,Beady Eye,The Stone Roses
528,1986 – present (36 years),Gwen Stefani,Garbage,Alanis Morissette
529,10 April 1979 (age 43),Kylie Minogue,Dannii Minogue,Sugababes
530,1996 – present (26 years),Simple Plan,Yellowcard,Bowling for Soup
531,,Taking Back Sunday,Pencey Prep,My Chemical Romance
532,2002 – present (20 years),OneRepublic,The Script,Adam Levine
533,,Beth Ditto,The Ting Tings,Yeah Yeah Yeahs
534,2001 – present (21 years),Patrick Stump,Cobra Starship,Panic! at the Disco
535,,Paradiso Girls,Booty Luv,Nadia Oh
536,2003 – present (19 years),Agridoce,Luxúria,Detonautas Roque Clube
537,29 June 1978 (age 44),The Pussycat Dolls,Cheryl,The Saturdays
538,29 January 1982 (age 40),Kris Allen,Kelly Clarkson,Eric Saade
539,17 September 1979 (age 43),Pitbull,Taio Cruz,will.i.am
540,2007 – present (15 years),La Roux,Ladyhawke,Little Boots
541,30 January 1984 (age 38),Kanye West,A$AP Rocky,Travi$ Scott
542,30 December 1986 (age 35),Tove Lo,Foxes,Rita Ora
543,"Minneapolis, Hennepin County, Minnesota, United States",The Seeds,The Stooges,MC5
544,1976 – present (46 years),The Cynics,Reigning Sound,Lyres
545,,The Urges,The Woggles,Miracle Workers
546,,The Fleshtones,The Cynics,Lyres
547,,The Incredible Staggers,The Beautiful Kantine Band,Miracle Workers
548,1964 – 1996 (32 years),The Who,Small Faces,The Zombies
549,,Mickey & The Milkshakes,The Green Telescope,The Unclaimed
550,,The Charms,The Other Half,The Elastik Band
551,1980 – present (42 years),The Cynics,The Nomads,The Fleshtones
552,1996 – present (26 years),The Sewergrooves,The Hydromatics,The Maggots
553,1983 – present (39 years),Reverend Horton Heat,Brian Setzer,Robert Gordon
554,1987 – present (35 years),The Maggots,The Chesterfield Kings,The Satelliters
555,1986 – present (36 years),Vibrasonic,The Phantom Surfers,Boss Martians
556,1964 – present (58 years),Pete Townshend,The High Numbers,The Kinks
557,1965 – 1978 (13 years),The Pretty Things,The Kinks,The Byrds
558,26 October 1911,Sister Rosetta Tharpe,The Staple Singers,The Golden Gate Quartet
559,10 June 1910,Muddy Waters,Little Walter,Elmore James
560,9 June 1934,Martha Reeves & The Vandellas,Fontella Bass,Wilson Pickett
561,22 January 1931,The Soul Stirrers,Otis Redding,Wilson Pickett
562,,Les Jaguars,Fifty Foot Combo,Steve King
563,9 September 1941,Otis Redding & Carla Thomas,Wilson Pickett,Sam Cooke
564,5 December 1932,Chuck Berry,Eddie Cochran,Carl Perkins
565,11 November 1929,Ruth Brown,Clyde McPhatter,Chuck Willis
566,23 September 1930,Louis Armstrong,Nat King Cole,Julie London
567,1996 – present (26 years),The Dirtbombs,The Fleshtones,Reigning Sound
568,11 December 1926,Memphis Minnie,T-Bone Walker,Albert Collins
569,25 March 1942,Gladys Knight & The Pips,Etta James,Otis Redding
570,2 April 1939,Marvin Gaye & Tammi Terrell,Stevie Wonder,The Isley Brothers
571,30 January 1928,LaVern Baker,Chuck Willis,Joe Turner
572,3 May 1933,James Brown & The Famous Flames,The J.B.'s,Lyn Collins
573,1 May 1924,Roy Brown,Wynonie Harris,Louis Jordan & His Tympany Five
574,4 April 1913,Howlin' Wolf,John Lee Hooker,Elmore James
575,27 January 1918,Little Walter,Jimmy Reed,Sonny Boy Williamson II
576,5 December 1912,Little Walter,Jimmy Reed,Slim Harpo
577,22 August 1917,Muddy Waters,Howlin' Wolf,Lightnin' Hopkins
578,1954 – present (68 years),The O'Jays,Teddy Pendergrass,Luther Vandross
579,18 October 1926,Little Richard,Eddie Cochran,Carl Perkins
580,19 December 1918,Allen Toussaint,Champion Jack Dupree,Kermit Ruffins
581,20 March 1915,Mahalia Jackson,Memphis Minnie,Lonnie Johnson
582,18 May 1911,Wynonie Harris,LaVern Baker,Ruth Brown
583,1 November 1936,Syl Johnson,Thee Headcoatees,Lee Dorsey
584,7 December 1910,Louis Prima & Keely Smith,Keely Smith,Bobby Darin
585,22 May 1924,Gilbert Bécaud,Jacques Brel,Michel Sardou
586,10 November 1928,Luis Bacalov,John Barry,Riz Ortolani
587,3 January 1920,Fred Buscaglione,Domenico Modugno,Tony Dallara
588,1963 – present (59 years),Strawberry Alarm Clock,Kaleidoscope,The Electric Prunes
589,,The Neanderthals,Gone Hepsville,The Hi-Risers
590,,the kongsmen,The Masonics,MFC Chicken
591,1964 – 1969 (5 years),Small Faces,The Troggs,The Hollies
592,1985 – present (37 years),Miracle Workers,The Chesterfield Kings,The Satelliters
593,8 January 1947,Tin Machine,Iggy Pop,Lou Reed
594,,Дегустация Щукожарства,HELLDISTORT,DJ Dog Dick
595,7 June 1958,Prince & The Revolution,Prince and the New Power Generation,The Time
596,26 July 1974 (age 48),Iron & Wine and Calexico,Gregory Alan Isakov,The Tallest Man on Earth
597,18 August 1971 (age 51),AFX,Polygon Window,Squarepusher
598,1999 – present (23 years),Erlend Øye,The Whitest Boy Alive,Feist
599,1979 – 2014 (35 years),Public Enemy,Run-D.M.C.,Cypress Hill
600,31 July 1978 (age 44),Junip,Ben Howard,Alexi Murdoch
601,1967 – present (55 years),Ian Anderson,"Emerson, Lake & Palmer",Gentle Giant
602,1990 – present (32 years),Isotope 217,Gastr Del Sol,Do Make Say Think
603,19 June 1948,Elliott Smith,John Martyn,Tim Buckley
604,26 May 1926,John Coltrane,Miles Davis Quintet,Wayne Shorter
605,1994 – present (28 years),Sam Prekop,Tortoise,The American Analog Set
606,1974 – 1991 (17 years),David Byrne,Devo,XTC
607,23 September 1926,Miles Davis,John Coltrane Quartet,Wayne Shorter
608,1990 – present (32 years),Soundgarden,Temple of the Dog,Eddie Vedder
609,6 August 1969,Heatmiser,Nick Drake,Alex G
610,17 January 1975 (age 47),Autechre,Venetian Snares,µ-Ziq
611,1987 – present (35 years),Common,Mos Def,Black Thought
612,1996 – present (26 years),Camera Obscura,God Help the Girl,Jens Lekman
613,1985 – present (37 years),Q-Tip,The Pharcyde,OutKast
614,1978 – present (44 years),Jarvis Cocker,Suede,Blur
615,,The American Dollar,This Will Destroy You,Explosions in the Sky
616,1 July 1975 (age 47),Fleet Foxes,Bon Iver,Perfume Genius
617,1999 – present (23 years),Esmerine,Rachel's,Mice Parade
618,2003 – present (19 years),Neil Halstead,Damien Jurado,Iron & Wine
619,10 October 1917,Thelonious Monk Trio,Bud Powell,Thelonious Monk Quartet
620,"Louisiana, United States",Damien Jurado,M. Ward,Deer Tick
621,1990 – present (32 years),Dubstar,Tracey Thorn,Annie
622,1958 (age 64),Los Angeles Guitar Quartet,Sharon Isbin,Angel Romero
623,1996 – present (26 years),The Apples in Stereo,The Olivia Tremor Control,Islands
624,12 November 1945 (age 77),Neil Young & Crazy Horse,"Crosby, Stills, Nash & Young",Buffalo Springfield
625,1980 – present (42 years),Coil,Throbbing Gristle,Psychic TV
626,1999 – present (23 years),This Will Destroy You,Caspian,Mono
627,19 March 1930,Eric Dolphy,Cecil Taylor,John Coltrane
628,5 November 1978 (age 44),Onirama,Γιώργος Σαμπάνης,Stavento
629,,Lali,Erreway,Chiquititas
630,24 November 1993 (age 29),Eleftheria Eleftheriou,Eleni Foureira,Tamta
631,31 January 1982 (age 40),Eleni Foureira,Antique,Josephine
632,31 January 1985 (age 37),Rebeka Dremelj,Sarbel,Elena Risteska
633,9 September 1987 (age 35),Radmila Manojlović,Vuk Mob,Mia Borisavljevic
634,,Despina Vandi,Helena Paparizou,Nikos Vertis
635,16 May 1974 (age 48),Giorgia,Eros Ramazzotti,Tiziano Ferro
636,,Andermay,Dani Mata,David Civera
637,,Harry Antoniou,Antonis Economou,Jon Lilygreen
638,16 October 1986 (age 36),Alexandra Stan,Antonia,Klaas
639,2004 – present (18 years),Goin' Through,Onirama,Μιχάλης Χατζηγιάννης
640,2004 – 2009 (5 years),Anahí,Dulce María,Christian Chávez
641,12 May 1989 (age 33),Ivi Adamou,Tamta,Josephine
642,19 June 1970 (age 52),Nikos Vertis,Giorgos Mazonakis,Despina Vandi
643,2006 – present (16 years),Koldun,Eric Papilaya,Frederik Ndoci
644,,Ilias Vrettos,Γιώργος Σαμπάνης,Nikos Oikonomopoulos
645,1994 – present (28 years),Đogani,Emina Jahović,Slavica Ćukteraš
646,22 October 1985 (age 37),Gülşen,Hande Yener,Demet Akalın
647,,"Wachtturm e. V., Selters/Ts.",Watch Tower Symphony Orchestra,Watch Tower Bible of PA
648,2000 – present (22 years),C:Real,Filippos Pliatsikas,Stavento
649,,Colonel Reyel,Collectif Métissé,Twin Twin
650,,Zan Batist,Panos Kalidis,Konstantinos Koufos
651,6 December 1976 (age 46),Tiziano Ferro,Marco Mengoni,Giorgia
652,,Patito Feo,Erreway,Lali
653,2002 – 2007 (5 years),Teen Angels,Floricienta,Lali
654,24 December 1981 (age 40),Сергей Лазарев,Polina Gagarina,ALEKSEEV
655,12 March 1985 (age 37),Maître Gims,Julien Doré,Indila
656,10 January 1981 (age 41),Eleni Foureira,Elena Tsagrinou,Efendi
657,5 January 1972 (age 50),Despina Vandi,Helena Paparizou,Kalomira
658,,Lambe,Elena Risteska,Vlado Janevski
659,,Pasxalis Terzis,Nikos Oikonomopoulos,Notis Sfakianakis
660,,Sofia Nizharadze,Thea Garrett,Juliana Pasha
661,25 February 1968 (age 54),Olivia Lewis,Guri Schanke,Stevan Faddy
662,,Eirini Merkouri,Kelly Kelekidou,Evridiki
663,29 October 1990 (age 32),Darin,Anton Ewald,Robin Bengtsson
664,20 September 1992 (age 30),Sanna Nielsen,Eleftheria Eleftheriou,Anna Bergendahl
665,18 October 1957 (age 65),Dimitra Galani,Ελένη Τσαλιγοπούλου,Τάνια Τσανακλίδου
666,8 November 1990 (age 32),Francisca Valenzuela,Cami,Soulfia
667,,Kelly Kelekidou,Nikos Kourkoulis,Stamatis Gonidis
668,2 June 1987 (age 35),Eric Saade,Ola,Måns Zelmerlöw
669,17 October 1975 (age 47),Klapa s mora,Nodi Tatishvili & Sophie Gelovani,Esma & Lozano
670,,Urban Symphony,Sanna Nielsen,Niamh Kavanagh
671,25 May 1980 (age 42),Nikos Ganos,Giorgos Tsalikis,Sarbel
672,,Freedom Candlemaker,Flint Bones,Demolition In Progress
673,2009 – 2015 (5 years),Lea Michele,Darren Criss,The Barden Bellas
674,2004 – present (18 years),Ashlee Simpson,Lindsay Lohan,Aly & AJ
675,20 August 1992 (age 30),Miley Cyrus,Fifth Harmony,Demi Lovato & Joe Jonas
676,,CHVRCHES,Elohim,Broods
677,16 October 1977 (age 45),John Mayer Trio,Jack Johnson,Jason Mraz
678,,John Gallagher Jr.,The Frustrators,Tré Cool
679,2009 – present (13 years),Jonas Brothers,Nick Jonas,Joe Jonas
680,2008 – 2012 (4 years),Selena Gomez,Ashley Tisdale,Bridgit Mendler
681,2003 – present (19 years),The Maine,Mayday Parade,We the Kings
682,2004 – present (18 years),Push Play,KSM,Steve Rushton
683,2007 – present (15 years),Lorde,Marina & the Diamonds,Lykke Li
684,,Lana Del Rey,Charli XCX,Sky Ferreira
685,5 July 1986 (age 36),Sky Sailing,The Ready Set,Hot Chelle Rae
686,9 July 1991 (age 31),Emily Osment,Allstar Weekend,Hannah Montana
687,2008 – 2011 (3 years),We Are the In Crowd,Cassadee Pope,Boys Like Girls
688,5 February 1987 (age 35),Glee Cast,Lea Michele,Matthew Morrison
689,,Honor Society,KSM,Clique Girlz
690,2000 – present (22 years),Jem,Shivaree,The Guggenheim Grotto
691,18 December 1975 (age 46),Jessie J,Adele,Ellie Goulding
692,,Tom Kitt,Wicked,Laurence O'Keefe
693,28 September 1988 (age 34),Kristinia DeBarge,Samantha Jade,Samantha Mumba
694,2004 – present (18 years),Tyler Ward,Tyrone Wells,Hannah Trigwell
695,2 February 1977 (age 45),Paulina Rubio,Jennifer Lopez,Belinda
696,15 April 1986 (age 36),Jamie Foxx,Ciara,Sean Kingston
697,2005 – present (17 years),alt-J,Foals,Daughter
698,2008 – present (14 years),Halestorm,New Years Day,Evanescence
699,1985 – present (37 years),Humberto Gessinger,Nenhum de Nós,Ira!
700,1973 – present (48 years),Airbourne,Van Halen,Motörhead
701,1981 – present (41 years),Megadeth,Slayer,Pantera
702,1982 – present (40 years),Jota Quest,Os Paralamas Do Sucesso,Biquini Cavadão
703,1997 – 2011 (13 years),Jack White,The Raconteurs,The Dead Weather
704,1998 – present (24 years),Zakk Wylde,Pride & Glory,Down
705,12 August 1949 (age 73),Dire Straits,Mark Knopfler & Emmylou Harris,Eric Clapton
706,1977 – 1995 (18 years),Mark Knopfler,Eric Clapton,Supertramp
707,1992 – present (30 years),Bonfire,Shakra,H.E.A.T
708,1982 – 1996 (14 years),Renato Russo,Capital Inicial,Os Paralamas Do Sucesso
709,1980 – 2011 (31 years),U2,The Replacements,Manic Street Preachers
710,2003 – present (19 years),Kasabian,Razorlight,Franz Ferdinand
711,1970 – present (52 years),Jeff Lynne,Supertramp,10cc
712,,Johnny Cash & June Carter,The Highwaymen,Waylon Jennings
713,1999 – 2010 (11 years),Calle 13,Carlos Puebla,Omara Portuondo
714,1978 – present (44 years),Mike Ness,Rancid,Pennywise
715,14 May 1953 (age 69),Michael Nyman,René Aubry,Philip Glass
716,26 February 1973 (age 49),Paul van Dyk,Dash Berlin,Ferry Corsten
717,1996 – 2015 (19 years),Ibrahim Ferrer,Rubén González,Omara Portuondo
718,3 December 1948 (age 74),Black Sabbath,Dio,Judas Priest
719,1981 – present (41 years),Os Paralamas Do Sucesso,Ira!,Barão Vermelho
720,1993 – present (29 years),Nightwish,Within Temptation,Therion
721,,Lesiëm,Gregorian,Enigma
722,30 March 1945 (age 77),Derek and the Dominos,B.B. King & Eric Clapton,Mark Knopfler
